,Track URI,Track Name,Artist URI,Artist Name,Artist Popularity,Artist Genres,Album,Track Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time Signature
0,spotify:track:1CljcFs9C5K3V7esJYGTTu,Tumse Milkar Na Jane,spotify:artist:61JrslREXq98hurYL2hYoc,Lata Mangeshkar,75,"['classic bollywood', 'filmi', 'lata']",Pyar Jhukta Nahin,52,0.37,0.54,1,-9.553,1,0.0378,0.953,0.593,0.594,0.731,102.032,412337,4
1,spotify:track:2e0lcTA6Je5qaFuF5HMG8x,Hum Tum Dono Jab Mil Jayen,spotify:artist:2ae6PxICSOZHvjqiCcgon8,S. P. Balasubrahmanyam,77,['filmi'],Ek Duuje Ke Liye (Original Motion Picture Soundtrack),30,0.387,0.659,10,-10.194,1,0.0573,0.683,8.58e-06,0.385,0.566,92.731,335283,4
2,spotify:track:02zPo0Dt0R4TTFY5zLJZnK,Neele Neele Ambar Par - Male Version,spotify:artist:7pWXlTjky0KXWgbdZi9ebq,Kalyanji-Anandji,59,"['classic bollywood', 'filmi']",Kalaakaar (Original Motion Picture Soundtrack),68,0.562,0.696,0,-7.612,1,0.0397,0.628,0.0,0.172,0.722,93.801,320000,4
3,spotify:track:0dUbhFM18NyBDDpiktEQLk,Ae Mere Humsafar,spotify:artist:3gBKY0y3dFFVRqicLnVZYz,Alka Yagnik,79,"['filmi', 'hare krishna', 'modern bollywood']",Qayamat Se Qayamat Tak,67,0.436,0.499,7,-12.909,0,0.0356,0.499,5.01e-05,0.308,0.551,103.104,355840,4
4,spotify:track:19LAzJUBAOzZtpw1h3J1YP,"Yeh Vaada Raha - From ""Yeh Vaada Raha""",spotify:artist:0GF4shudTAFv8ak9eWdd4Y,Kishore Kumar,73,"['classic bollywood', 'filmi']",Yeh Vaada Raha (Original Motion Picture Soundtrack),63,0.54,0.65,0,-6.554,1,0.0382,0.643,0.000123,0.123,0.635,72.52,409333,4
5,spotify:track:3ljq4qJwL7GgiFy3V4QENG,"Janu Meri Jaan - From ""Shaan""",spotify:artist:0gXDpqwYNDODn7fB0RDN8J,Mohammed Rafi,68,"['classic bollywood', 'filmi']",Mohammed Rafi Hits,45,0.492,0.486,9,-10.32,1,0.0558,0.673,6.24e-06,0.238,0.783,134.353,426507,4
6,spotify:track:5k38rm1bPeiKG6D12s4XoN,Yaar Bina Chain Kanha Ray,spotify:artist:2jqTyPt0UZGrthPF4KMpeN,Bappi Lahiri,57,"['classic bollywood', 'filmi', 'modern bollywood']",Saaheb (Original Motion Picture Soundtrack),61,0.82,0.517,4,-10.995,1,0.0425,0.615,0.00081,0.494,0.961,131.212,273551,4
7,spotify:track:4Y92n8PLBev9d7ojEZCVbi,Agar Tum Na Hote - Male Version,spotify:artist:2JSYASbWU5Y0fVpts3Eq7g,R. D. Burman,71,"['chutney', 'classic bollywood', 'filmi']",Agar Tum Na Hote (Original Motion Picture Soundtrack),59,0.617,0.684,5,-5.57,0,0.0341,0.542,0.000172,0.118,0.77,124.945,249383,4
8,spotify:track:1qQpPLrf24dlipQw32Oo0b,Jaan - E - Jigar Jaaneman,spotify:artist:4hkB2bR5ek6lJChj6aunCn,Anuradha Paudwal,69,"['bhajan', 'classic bollywood', 'filmi', 'ghazal', 'hare krishna']",Aashiqui,57,0.41,0.72,7,-7.675,0,0.0476,0.827,0.00123,0.338,0.728,82.133,312440,4
9,spotify:track:04Erz9shwLnOL55apcDEAG,Kisi Nazar Ko Tera Intezar,spotify:artist:5as8A4G47Ohu9NSWs3Je8U,Asha Bhosle,70,"['chutney', 'classic bollywood', 'filmi']",Aitbaar,54,0.463,0.523,10,-8.359,0,0.0324,0.811,0.0,0.0992,0.5,93.051,404107,4
10,spotify:track:2IBgWgpm2azZaWMJFyaRFy,Kate Nahin Kat Te,spotify:artist:0GF4shudTAFv8ak9eWdd4Y,Kishore Kumar,73,"['classic bollywood', 'filmi']",Mr. India,57,0.569,0.55,8,-10.342,1,0.0702,0.589,0.0,0.0931,0.495,131.082,397693,4
11,spotify:track:27tGgkVwcQIMyfzstOHjgq,Main Teri Mohabbat Mein - 1,spotify:artist:3vXBH4XwXSLM1YIrRBt98k,Mohammed Aziz,59,"['classic bollywood', 'filmi']",Tridev,53,0.484,0.659,6,-10.473,0,0.0426,0.594,3.69e-05,0.128,0.787,79.481,293813,4
